IP,Set_Num,Longitude,Latitude
193.95.0.91,-1,9.0,34.0
193.95.1.155,-1,9.0,34.0
193.95.1.159,-1,9.0,34.0
193.95.1.191,-1,9.0,34.0
193.95.1.223,-1,9.0,34.0
193.95.79.231,-1,9.0,34.0
193.95.79.246,-1,9.0,34.0
193.95.79.252,-1,9.0,34.0
193.95.96.100,-1,9.0,34.0
193.95.96.102,-1,9.0,34.0
193.95.96.108,-1,9.0,34.0
193.95.96.110,-1,9.0,34.0
193.95.96.132,-1,9.0,34.0
193.95.96.199,-1,9.0,34.0
193.95.96.218,-1,9.0,34.0
193.95.96.4,-1,9.0,34.0
193.95.96.50,-1,9.0,34.0
193.95.96.6,-1,9.0,34.0
193.95.96.96,-1,9.0,34.0
193.95.96.98,-1,9.0,34.0
195.2.10.85,-1,-0.1224,51.4964
195.22.197.12,-1,12.1097,43.1479
195.22.197.50,-1,12.1097,43.1479
195.22.197.65,-1,12.1097,43.1479
195.22.198.20,-1,12.1097,43.1479
195.22.210.222,-1,12.1097,43.1479
195.22.210.96,-1,12.1097,43.1479
195.22.218.59,-1,12.1097,43.1479
195.66.225.161,-1,0.115,51.381
195.66.226.123,-1,0.115,51.381
196.10.140.188,-1,24.0,-29.0
196.10.140.215,-1,24.0,-29.0
196.2.64.125,-1,30.0,-20.0
196.202.252.1,-1,13.2353,-8.8385
196.202.252.5,-1,13.2353,-8.8385
196.202.252.59,-1,13.2353,-8.8385
196.203.188.101,-1,9.0,34.0
196.203.188.133,-1,9.0,34.0
196.203.188.137,-1,9.0,34.0
196.203.189.101,-1,9.0,34.0
196.203.189.69,-1,9.0,34.0
196.203.189.97,-1,9.0,34.0
196.216.220.167,-1,-13.2342,8.49
196.216.221.55,-1,-11.5,8.5
196.223.14.81,-1,24.0,-29.0
196.25.146.36,-1,22.9721,-27.2056
196.25.153.41,-1,29.4208,-30.5517
196.25.158.241,-1,18.85,-33.9333
196.25.158.242,-1,18.85,-33.9333
196.25.199.141,-1,24.55,-32.25
196.29.37.134,-1,30.0,-20.0
196.32.232.140,-1,18.4155,-33.9165
196.32.232.157,-1,18.4155,-33.9165
196.44.0.29,-1,28.1748,-26.2279
196.44.184.134,-1,30.0,-20.0
196.44.29.140,-1,24.0,-29.0
196.44.29.222,-1,24.0,-29.0
196.44.29.53,-1,24.0,-29.0
196.60.70.66,-1,24.0,-29.0
196.60.8.188,-1,24.0,-29.0
196.60.9.107,-1,24.0,-29.0
196.64.192.1,-1,-7.6184,33.5922
196.64.216.1,-1,-7.6184,33.5922
196.64.8.1,-1,-7.6184,33.5922
196.65.128.1,-1,-8.0101,31.6298
196.70.24.1,-1,-7.6184,33.5922
196.70.56.1,-1,-7.6184,33.5922
196.75.104.1,-1,-6.9014,33.9246
196.89.40.1,-1,-7.6184,33.5922
197.133.96.3,-1,31.2852,30.0778
197.149.148.69,-1,13.2353,-8.8385
197.149.149.161,-1,13.2353,-8.8385
197.149.149.165,-1,13.2353,-8.8385
197.155.90.221,-1,38.0,1.0
197.155.93.177,-1,57.55,-20.2833
197.155.94.100,-1,57.55,-20.2833
197.155.94.15,-1,57.55,-20.2833
197.155.94.165,-1,57.55,-20.2833
197.155.94.198,-1,57.55,-20.2833
197.155.94.216,-1,57.55,-20.2833
197.155.94.223,-1,57.55,-20.2833
197.155.94.227,-1,57.55,-20.2833
197.155.94.229,-1,57.55,-20.2833
197.155.94.4,-1,57.55,-20.2833
197.155.94.61,-1,57.55,-20.2833
197.155.94.63,-1,57.55,-20.2833
197.155.94.65,-1,57.55,-20.2833
197.155.94.69,-1,57.55,-20.2833
197.155.94.74,-1,57.55,-20.2833
197.155.94.8,-1,57.55,-20.2833
197.155.94.97,-1,57.55,-20.2833
197.17.128.0,-1,9.0,34.0
197.200.0.1,-1,3.0886,36.733
197.206.0.1,-1,1.3131,35.3758
197.206.96.1,-1,1.3131,35.3758
197.215.100.161,-1,-13.2342,8.49
197.215.100.194,-1,-13.2342,8.49
197.215.149.235,-1,17.0,25.0
197.215.157.14,-1,17.0,25.0
197.239.0.20,-1,32.5657,0.3162
197.239.63.250,-1,32.5657,0.3162
197.42.144.1,-1,31.0004,30.7866
197.43.213.1,-1,32.5263,29.9737
197.80.0.85,-1,24.0,-29.0
197.80.10.34,-1,24.0,-29.0
197.80.4.218,-1,24.0,-29.0
197.80.4.224,-1,24.0,-29.0
197.80.4.9,-1,24.0,-29.0
197.80.5.37,-1,24.0,-29.0
197.80.5.49,-1,24.0,-29.0
197.80.5.58,-1,24.0,-29.0
197.80.5.60,-1,24.0,-29.0
197.80.5.65,-1,24.0,-29.0
197.80.5.9,-1,24.0,-29.0
197.80.7.1,-1,24.0,-29.0
197.80.7.15,-1,24.0,-29.0
197.80.7.2,-1,24.0,-29.0
197.80.7.65,-1,24.0,-29.0
197.80.7.66,-1,24.0,-29.0
197.80.7.79,-1,24.0,-29.0
197.80.96.161,-1,24.0,-29.0
197.80.96.210,-1,24.0,-29.0
197.80.97.238,-1,24.0,-29.0
197.80.97.62,-1,24.0,-29.0
197.82.5.249,-1,24.0,-29.0
197.82.5.250,-1,24.0,-29.0
197.82.7.1,-1,24.0,-29.0
197.82.7.2,-1,24.0,-29.0
197.84.4.243,-1,18.4259,-33.9258
197.84.4.34,-1,18.4259,-33.9258
197.84.4.38,-1,18.4259,-33.9258
197.84.4.46,-1,18.4259,-33.9258
197.84.7.21,-1,18.4259,-33.9258
197.84.7.33,-1,18.4259,-33.9258
212.187.142.250,-1,-0.1988,50.9346
212.187.167.66,-1,-0.2945,51.3878
212.187.173.34,-1,0.2517,51.4999
212.217.80.10,-1,-5.0,32.0
212.217.80.13,-1,-5.0,32.0
212.217.80.14,-1,-5.0,32.0
212.217.80.21,-1,-5.0,32.0
212.73.201.174,-1,14.5148,50.0766
212.73.201.181,-1,14.5148,50.0766
212.73.201.97,-1,14.5148,50.0766
212.73.253.29,-1,2.1611,41.3891
