Source_IP,Target_IP
105.159.72.1,81.192.65.154
81.192.65.154,81.192.65.145
196.75.104.1,81.192.65.130
81.192.65.130,81.192.65.129
41.140.56.1,81.192.65.146
81.192.65.146,81.192.65.145
41.212.66.1,41.212.2.42
41.212.2.42,105.16.12.137
105.16.12.137,105.16.11.125
105.16.11.125,105.16.32.254
105.16.32.254,212.73.201.181
212.73.201.181,212.73.201.174
212.73.201.174,41.21.232.182
41.21.232.182,41.191.201.145
41.212.66.1,41.188.172.97
41.188.172.97,155.12.0.242
155.12.0.242,155.12.0.202
155.12.0.202,197.155.94.100
197.155.94.100,41.175.43.72
41.175.43.72,197.155.94.4
197.155.94.4,197.155.94.8
197.155.94.8,197.155.94.198
197.155.94.198,41.223.57.206
41.223.57.206,41.223.57.205
41.223.57.205,197.239.63.250
197.239.63.250,197.239.0.20
102.22.160.1,81.25.197.18
81.25.197.18,81.25.197.17
81.25.197.17,212.187.173.34
212.187.173.34,41.21.232.182
41.21.232.182,41.191.201.145
196.202.252.59,102.130.68.104
102.130.68.104,102.130.68.107
102.130.68.107,102.130.68.138
102.130.68.138,196.10.140.215
196.10.140.215,41.60.135.94
41.60.135.94,41.175.242.109
41.175.242.109,197.155.94.74
197.155.94.74,197.155.94.229
197.155.94.229,197.155.94.165
197.155.94.165,41.223.224.5
193.95.96.102,195.22.197.50
195.22.197.50,192.22.218.39
192.22.218.39,197.215.149.235
197.215.149.235,197.215.157.14
197.215.157.14,62.68.47.250
193.95.79.231,195.22.197.50
195.22.197.50,195.22.218.59
195.22.218.59,195.22.197.65
195.22.197.65,197.215.149.235
197.215.149.235,197.215.157.14
197.215.157.14,62.68.47.250
62.68.47.250,62.68.47.158
154.109.128.0,195.22.197.12
195.22.197.12,195.22.197.65
195.22.197.65,197.215.149.235
197.215.149.235,197.215.157.14
197.215.157.14,62.68.47.250
62.68.47.250,62.68.47.157
62.68.47.157,62.68.47.158
41.226.22.8,193.95.96.108
193.95.96.108,193.95.0.91
193.95.0.91,193.95.1.159
193.95.1.159,195.22.197.50
195.22.197.50,192.22.218.39
192.22.218.39,195.22.197.65
195.22.197.65,197.215.149.235
197.215.149.235,197.215.157.14
197.215.157.14,62.68.47.250
62.68.47.250,62.68.47.158
41.226.22.18,193.95.96.108
193.95.96.108,193.95.0.91
193.95.0.91,193.95.1.159
193.95.1.159,195.22.197.50
195.22.197.50,195.22.218.59
195.22.218.59,195.22.197.65
195.22.197.65,197.215.149.235
197.215.149.235,197.215.157.14
197.215.157.14,62.68.47.250
62.68.47.250,62.68.47.157
62.68.47.157,62.68.47.158
41.226.22.18,193.95.96.110
193.95.96.110,193.95.0.91
193.95.0.91,193.95.1.159
193.95.1.159,195.22.197.50
195.22.197.50,192.22.218.39
192.22.218.39,195.22.197.65
195.22.197.65,197.215.149.235
197.215.149.235,197.215.157.14
197.215.157.14,62.68.47.250
62.68.47.250,62.68.47.158
41.226.21.227,193.95.96.98
193.95.96.98,193.95.96.98
193.95.96.98,193.95.0.150
193.95.0.150,193.95.1.223
193.95.1.223,195.22.197.50
195.22.197.50,192.22.218.39
192.22.218.39,195.22.197.65
195.22.197.65,197.215.149.235
197.215.149.235,197.215.157.14
197.215.157.14,62.68.47.157
62.68.47.157,62.68.47.158
62.68.47.158,62.68.47.158
41.226.16.230,193.95.96.100
193.95.96.100,193.95.0.14
